# AC3 evidence — server-java gate (#483 v2.8)

명령: cd server-java && ./gradlew test --rerun-tasks --console=plain
결과: BUILD SUCCESSFUL in 2m 24s / 5 actionable tasks: 5 executed
집계: tests=1188 failures=0 errors=0 skipped=1

| class | tests | failures | errors |
| online.hmb.LeagueDivisionTest | 22 | 0 | 0 |
| online.hmb.LeagueFixedBotPoolTest | 6 | 0 | 0 |
| online.hmb.LeagueLegacyRosterTest | 4 | 0 | 0 |
| online.hmb.LeagueLegacySeasonTest | 2 | 0 | 0 |
| online.hmb.LeagueMatchLockTest | 3 | 0 | 0 |
| online.hmb.LocalAuthRaceTest | 1 | 0 | 0 |
| online.hmb.LocalAuthTest | 17 | 0 | 0 |
| online.hmb.LogsApiTest | 5 | 0 | 0 |
| online.hmb.MailCampaignDetailTest | 2 | 0 | 0 |
| online.hmb.MailFanoutCapTest | 1 | 0 | 0 |
| online.hmb.MailboxApiTest | 9 | 0 | 0 |
| online.hmb.MatchAbBranchTest | 7 | 0 | 0 |
| online.hmb.MatchAbandonSchedulerTest | 1 | 0 | 0 |
| online.hmb.MatchAbandonTest | 16 | 0 | 0 |
| online.hmb.MatchAutoManualResumeSwitchTest | 2 | 0 | 0 |
| online.hmb.MatchAutoModeSwitchesTest | 1 | 0 | 0 |
| online.hmb.MatchAutoModeTest | 13 | 0 | 0 |
| online.hmb.MatchBotPrefetchTest | 3 | 0 | 0 |
| online.hmb.MatchClockDisabledTest | 1 | 0 | 0 |
| online.hmb.MatchClockDuePredicateTest | 5 | 0 | 0 |
| online.hmb.MatchClockFlowTest | 12 | 0 | 0 |
| online.hmb.MatchClockSchedulerTest | 1 | 0 | 0 |
| online.hmb.MatchClockShippedDefaultsTest | 2 | 0 | 0 |
| online.hmb.MatchConditionDateAnchorTest | 1 | 0 | 0 |
| online.hmb.MatchDeckSnapshotApiTest | 5 | 0 | 0 |
| online.hmb.MatchDeltaDisabledTest | 1 | 0 | 0 |
| online.hmb.MatchFailureTest | 5 | 0 | 0 |
| online.hmb.MatchFlowE2ETest | 5 | 0 | 0 |
| online.hmb.MatchLockApiTest | 20 | 0 | 0 |
| online.hmb.MatchOverhaulKnobsTest | 1 | 0 | 0 |
| online.hmb.MatchOverhaulRoutingTest | 9 | 0 | 0 |
| online.hmb.MatchPromptDeltaTest | 6 | 0 | 0 |
| online.hmb.MatchPromptsReadApiTest | 7 | 0 | 0 |
| online.hmb.MatchSideNamesTest | 2 | 0 | 0 |
| online.hmb.MatchSkipDisabledTest | 1 | 0 | 0 |
| online.hmb.MatchSkipTest | 9 | 0 | 0 |
| online.hmb.MatchSkipTransitionFailureTest | 1 | 0 | 0 |
| online.hmb.MatchSnapshotTacticsTest | 3 | 0 | 0 |
| online.hmb.MatchSubsTest | 2 | 0 | 0 |
| online.hmb.MatchTransitionMatrixTest | 78 | 0 | 0 |
| online.hmb.MissionDailyTest | 35 | 0 | 0 |
| online.hmb.MissionFinishHookWiringTest | 2 | 0 | 0 |
| online.hmb.MissionMatchFlowTest | 6 | 0 | 0 |
| online.hmb.MissionRollbackOffTest | 2 | 0 | 0 |
